iter,acc,nmi,ari,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,fr,fd,loss
4620,0.56949,0.59717,0.43454,0.653455263854661,0.7155967264251629,0.411942012343907,0.3852632166843,49099,20901,0.62801,0.59961,0.030555799044668673
4760,0.57087,0.59838,0.43634,0.6536675386830525,0.7157441119177518,0.4126830682971627,0.38582290208230935,49311,20689,0.67464,0.6363,0.03047050777822733
4900,0.5714,0.59938,0.43717,0.6532111573083599,0.7153734891846851,0.4125843355822822,0.3852179525914035,49546,20454,0.69498,0.67063,0.030181882051484924
5040,0.57319,0.6011,0.43984,0.6549013283879941,0.7169772148552404,0.411946446961895,0.38642321379027067,49609,20391,0.61007,0.61519,0.030058783958000795
5180,0.57301,0.60114,0.43971,0.6529114533205005,0.7157414047690488,0.4110691573926868,0.38394911301435986,49872,20128,0.70327,0.69875,0.029808841339711633
5320,0.57413,0.60249,0.44164,0.6542724849165147,0.7172993885812238,0.41067077718661427,0.3860767459694427,49889,20111,0.64594,0.65475,0.02969031666538545
5460,0.57469,0.60296,0.44201,0.6529533761416664,0.7156633981955443,0.4113528759947618,0.384747255660293,50146,19854,0.72283,0.7289,0.02952142333877938
5600,0.5755,0.60369,0.443,0.606136247169094,0.6551105662713258,0.3524771221205428,0.3312642413505804,50134,19866,0.81376,0.87492,0.029231738485395908
5740,0.56197,0.59868,0.44037,0.6003159032338515,0.6512648495815568,0.3476407914764079,0.3376952009192352,60145,9855,0.74705,0.63146,0.02892171119206718
5880,0.56173,0.59912,0.44012,0.5991258247328447,0.6501496975616143,0.35374910977718993,0.34186781722296855,60171,9829,0.73364,0.71556,0.027995737296129974
6020,0.56207,0.59963,0.44029,0.598666091515413,0.6500497671085337,0.35626156693399136,0.34173399092174156,60274,9726,0.72543,0.78177,0.027208347246050833
6160,0.56207,0.60066,0.44088,0.5982030369338903,0.6503938944977291,0.3566556428276147,0.3443588555415442,60324,9676,0.76951,0.76039,0.027254134150488035
6300,0.56243,0.601,0.44119,0.5985099337748344,0.6503732086609417,0.35510416666666667,0.34237653700272014,60400,9600,0.70133,0.75414,0.02669071700157864
